RP,FP,cat,subcat,offset,ESU,MFS,IMN,UPS,Chosen
rec5n,csl.pups.3,csl,pups,3,0.49281778,0.4420909,0.3568293,0.299775801,
rec5n,csl.pups.4,csl,pups,4,0.45944357,0.441564,0.42457768,0.340226267,
rec5n,csl.pups.5,csl,pups,5,0.51143333,0.4761516,0.38599126,NA,
rec5n,csl.SalishSea.2,csl,SalishSea,2,0.29688273,0.5590307,0.41481398,NA,
rec5n,csl.SalishSea.3,csl,SalishSea,3,0.41859729,0.6202828,0.41980999,NA,
rec5n,csl.SalishSea.4,csl,SalishSea,4,0.4866054,0.5793805,0.42831859,NA,
rec5n,csl.SalishSea.5,csl,SalishSea,5,0.57704941,0.6408317,0.35665018,NA,
rec5n,csl.WA.2,csl,WA,2,0.23902284,0.3145581,0.11950705,-0.078804369,
rec5n,csl.WA.3,csl,WA,3,0.22875752,0.2892608,0.136803,-0.05262012,
rec5n,csl.WA.4,csl,WA,4,0.27884458,0.2913788,0.17515939,NA,
rec5n,csl.WA.5,csl,WA,5,0.29020864,0.2563163,0.17673092,NA,
rec5n,flow.gageht.0,flow,gageht,0,0.25482059,0.3053188,0.35772306,0.214654102,
rec5n,flow.gageht.1,flow,gageht,1,0.26043305,NA,0.37848149,0.193434514,
rec5n,flow.gageht.2,flow,gageht,2,0.24238567,NA,0.38658059,0.120946408,
rec5n,flow.gageht.3,flow,gageht,3,0.26428613,NA,0.39063877,0.208299337,
rec5n,flow.gageht.4,flow,gageht,4,0.22837517,NA,0.27360945,0.133052978,
rec5n,flow.gageht.5,flow,gageht,5,0.25605684,NA,0.2267139,NA,
rec5n,flow.mean.0,flow,mean,0,0.05058306,0.3075338,0.30324936,0.237519992,
rec5n,flow.mean.1,flow,mean,1,0.05288298,NA,0.25394328,0.185550108,
rec5n,flow.mean.2,flow,mean,2,0.06329067,NA,0.17379844,0.154969073,
rec5n,flow.mean.3,flow,mean,3,0.10429607,NA,0.19672368,0.219624628,
rec5n,flow.mean.4,flow,mean,4,0.07398436,NA,0.07705659,0.21835744,
rec5n,flow.mean.5,flow,mean,5,0.03457105,NA,0.04985187,0.15895887,
rec5n,flow.peak.0,flow,peak,0,0.1264611,0.3586802,0.33168925,NA,
rec5n,flow.peak.1,flow,peak,1,0.13031835,NA,0.35239913,NA,
rec5n,flow.peak.2,flow,peak,2,0.18229322,NA,0.3365755,0.207140174,
rec5n,flow.peak.3,flow,peak,3,0.20942389,NA,0.3810837,0.189736336,
rec5n,flow.peak.4,flow,peak,4,0.12026449,NA,0.24449611,0.145382281,
rec5n,flow.peak.5,flow,peak,5,0.098364,NA,0.20592787,0.131424564,
rec5n,flow.peakday.0,flow,peakday,0,0.10701214,0.3028988,0.21750169,NA,
rec5n,flow.peakday.1,flow,peakday,1,0.08038341,0.1838186,0.27160486,NA,
rec5n,flow.peakday.2,flow,peakday,2,0.13926551,0.2633807,0.29518967,NA,
rec5n,flow.peakday.3,flow,peakday,3,0.15213645,NA,0.25243854,NA,
rec5n,flow.peakday.4,flow,peakday,4,0.14858402,NA,0.24631383,NA,
rec5n,flow.peakday.5,flow,peakday,5,0.10671041,NA,0.26419753,NA,
rec5n,harv.COL.4,harv,COL,4,0.33161462,0.3798392,0.30982955,0.258565958,
rec5n,harv.COL.5,harv,COL,5,0.37953637,0.3719004,0.26939021,NA,
rec5n,harv.CRsport.4,harv,CRsport,4,0.32246081,0.3643258,0.32214346,0.301842094,
rec5n,harv.CRsport.5,harv,CRsport,5,0.41028816,0.338633,0.27725977,0.151165229,
rec5n,harv.NBC.4,harv,NBC,4,0.52069937,0.5299402,0.39207213,NA,
rec5n,harv.NBC.5,harv,NBC,5,0.51469479,0.5524577,0.43328976,0.40111089,
rec5n,harv.ORWA.4,harv,ORWA,4,0.42971153,0.531359,0.48388648,0.452111562,
rec5n,harv.ORWA.5,harv,ORWA,5,0.50699737,0.4738274,0.37520095,0.532653752,
rec5n,harv.ORWAsport.4,harv,ORWAsport,4,0.4314919,0.592936,0.46645256,0.446790382,
rec5n,harv.ORWAsport.5,harv,ORWAsport,5,0.49563552,0.5240568,0.32993941,0.551402427,
rec5n,harv.PACtot.4,harv,PACtot,4,0.43531614,0.4435377,0.34477224,0.437097664,
rec5n,harv.PACtot.5,harv,PACtot,5,0.4385046,0.4512481,0.34445158,0.475512993,
rec5n,harv.SEAK.4,harv,SEAK,4,0.47200073,0.4961558,0.35676762,0.397294121,
rec5n,harv.SEAK.5,harv,SEAK,5,0.50353177,0.4717008,0.31720291,0.426643005,
rec5n,harv.stock.0,harv,stock,0,0.49484524,0.4022299,NA,NA,
rec5n,harv.WCVI.4,harv,WCVI,4,0.34726617,0.3985877,0.30614563,0.299292017,
rec5n,harv.WCVI.5,harv,WCVI,5,0.3624757,0.4459678,0.37058641,0.332730531,
rec5n,hatch.all.1,hatch,all,1,0.40666039,0.4391987,0.19003149,0.398282209,
rec5n,hatch.all.2,hatch,all,2,0.40440792,0.30837,0.15330654,0.400777675,
rec5n,hatch.all.3,hatch,all,3,0.41030776,0.3583487,0.02287213,0.37252848,
rec5n,hatch.BC.1,hatch,BC,1,0.39837878,0.467132,0.36322119,0.352389117,
rec5n,hatch.BC.2,hatch,BC,2,0.39611704,0.4680761,0.29490794,0.296433249,
rec5n,hatch.BC.3,hatch,BC,3,0.42044843,0.4641279,0.2571505,NA,
rec5n,hatch.CAOR.1,hatch,CAOR,1,0.27283751,0.4886257,0.12526732,0.256144267,
rec5n,hatch.CAOR.2,hatch,CAOR,2,0.35000885,0.55674,0.15256813,0.267145658,
rec5n,hatch.CAOR.3,hatch,CAOR,3,0.37214653,0.5250692,0.18726503,0.33503607,
rec5n,hatch.COL.1,hatch,COL,1,0.33712792,0.3971433,0.22370959,0.29162249,
rec5n,hatch.COL.2,hatch,COL,2,0.33466789,0.3805263,0.24425297,0.260078839,
rec5n,hatch.COL.3,hatch,COL,3,0.32491581,0.3959543,0.20923017,0.252973846,
rec5n,hatch.SAL.1,hatch,SAL,1,0.28935565,0.3906765,0.11125183,0.272357381,
rec5n,hatch.SAL.2,hatch,SAL,2,0.27896924,0.3092245,0.04289416,0.25464678,
rec5n,hatch.SAL.3,hatch,SAL,3,0.28854172,0.2566983,0.01744553,NA,
rec5n,hatch.SEAK.1,hatch,SEAK,1,0.21518086,0.3034969,0.18729241,0.037914144,
rec5n,hatch.SEAK.2,hatch,SEAK,2,0.26922112,0.3144619,0.14768467,0.106430414,
rec5n,hatch.SEAK.3,hatch,SEAK,3,0.30533656,0.3666812,0.25459844,0.097365159,
rec5n,hatch.SNAK.1,hatch,SNAK,1,0.24694471,0.4939954,0.32665022,NA,
rec5n,hatch.SNAK.2,hatch,SNAK,2,0.28546264,0.4460109,0.33236378,0.129822647,
rec5n,hatch.SNAK.3,hatch,SNAK,3,0.32983269,0.4233112,0.28752024,0.178605151,
rec5n,hatch.spring.1,hatch,spring,1,0.38661967,0.5462831,0.35741176,0.177954134,
rec5n,hatch.spring.2,hatch,spring,2,0.43299356,0.5170299,0.32123332,0.224570626,
rec5n,hatch.spring.3,hatch,spring,3,0.49502106,0.5164968,0.32629379,0.280223347,
rec5n,hatch.sum.1,hatch,sum,1,0.35123972,0.3387861,0.12970677,0.378231237,
rec5n,hatch.sum.2,hatch,sum,2,0.34419076,0.2996088,0.08995243,0.355724472,
rec5n,hatch.sum.3,hatch,sum,3,0.34210929,0.2258624,-0.01173907,0.348325479,
rec5n,hatch.summer.1,hatch,summer,1,0.27914102,0.4716195,0.31039684,0.040631634,
rec5n,hatch.summer.2,hatch,summer,2,0.28420247,0.4053073,0.30867962,NA,
rec5n,hatch.summer.3,hatch,summer,3,0.3443184,0.3990961,0.24590664,0.099139514,
rec5n,hatch.total.1,hatch,total,1,0.37276728,0.510336,0.33413041,0.22281895,
rec5n,hatch.total.2,hatch,total,2,0.41789389,0.5019568,0.36322672,0.154733337,
rec5n,hatch.total.3,hatch,total,3,0.49260215,0.5085395,0.29081405,0.258631267,
rec5n,hatch.WA.1,hatch,WA,1,0.43597904,0.5324717,0.35177538,0.338628654,
rec5n,hatch.WA.2,hatch,WA,2,0.42575696,0.4353914,0.27181951,0.378357967,
rec5n,hatch.WA.3,hatch,WA,3,0.38572858,0.378939,0.18490808,0.287125004,
rec5n,hatch.WAK.1,hatch,WAK,1,0.26487723,0.4873602,0.24565801,0.05342199,
rec5n,hatch.WAK.2,hatch,WAK,2,0.30491035,0.4272237,0.11408109,0.103132073,
rec5n,hatch.WAK.3,hatch,WAK,3,0.28374381,0.4027706,0.10737761,0.081104985,
rec5n,hseal.COL.2,hseal,COL,2,0.32448032,0.4159468,NA,0.131351258,
rec5n,hseal.COL.3,hseal,COL,3,0.2323117,0.3457188,NA,0.189049104,
rec5n,hseal.COL.4,hseal,COL,4,0.1908658,0.2406128,NA,0.194575773,
rec5n,hseal.COL.5,hseal,COL,5,0.18818488,0.2686545,NA,NA,
rec5n,hseal.SalishSea.2,hseal,SalishSea,2,0.26449576,0.2435028,0.20599075,0.017302467,
rec5n,hseal.SalishSea.3,hseal,SalishSea,3,0.29180608,0.295149,0.1780924,0.004517674,
rec5n,hseal.SalishSea.4,hseal,SalishSea,4,0.35891982,0.3169347,0.28473023,NA,
rec5n,hseal.SalishSea.5,hseal,SalishSea,5,0.35649027,0.3136952,0.25337853,NA,
rec5n,hseal.WA.2,hseal,WA,2,0.29851051,0.2738974,0.22568918,NA,
rec5n,hseal.WA.3,hseal,WA,3,0.34943015,0.3332998,0.31987018,0.0969628,
rec5n,hseal.WA.4,hseal,WA,4,0.37060719,0.3119951,0.29379587,NA,
rec5n,hseal.WA.5,hseal,WA,5,0.41951394,0.3298173,0.30174865,NA,
rec5n,hseal.WCVIBC.2,hseal,WCVIBC,2,0.27922561,0.2528414,0.24654727,-0.010094362,
rec5n,hseal.WCVIBC.3,hseal,WCVIBC,3,0.31652973,0.2863105,0.20934674,NA,
rec5n,hseal.WCVIBC.4,hseal,WCVIBC,4,0.3443454,0.3478681,0.23398604,NA,
rec5n,hseal.WCVIBC.5,hseal,WCVIBC,5,0.35657045,0.3089374,0.27953699,NA,
rec5n,npgo.fal.2,npgo,fal,2,0.44465637,0.4306806,0.24034126,0.335019185,
rec5n,npgo.fal.3,npgo,fal,3,0.38359317,0.3835312,0.21380311,0.201884799,
rec5n,npgo.fal.4,npgo,fal,4,0.37878608,0.3699263,0.17236382,0.169305888,
rec5n,npgo.fal.5,npgo,fal,5,0.38913054,0.3279043,0.19880473,0.177667082,
rec5n,npgo.spr.2,npgo,spr,2,0.50845898,0.491135,0.32464257,0.429040907,
rec5n,npgo.spr.3,npgo,spr,3,0.49263876,0.4780374,0.24083295,0.310799021,
rec5n,npgo.spr.4,npgo,spr,4,0.42619539,0.4197755,0.15210424,0.141021501,
rec5n,npgo.spr.5,npgo,spr,5,0.39920941,0.3509223,0.12421239,0.212249363,
rec5n,npgo.sum.2,npgo,sum,2,0.48261507,0.4757522,0.27907294,0.345194498,
rec5n,npgo.sum.3,npgo,sum,3,0.45214059,0.4592514,0.21339869,0.293997197,
rec5n,npgo.sum.4,npgo,sum,4,0.39883421,0.3692149,0.17408071,0.177298871,
rec5n,npgo.sum.5,npgo,sum,5,0.39922343,0.3489182,0.15415922,0.228606275,
rec5n,npgo.win.2,npgo,win,2,0.5028085,0.488021,0.31440814,0.345498153,
rec5n,npgo.win.3,npgo,win,3,0.48653825,0.4616073,0.25751933,0.30707237,
rec5n,npgo.win.4,npgo,win,4,0.46159665,0.4606306,0.25816487,0.238976837,
rec5n,npgo.win.5,npgo,win,5,0.40025942,0.3745174,0.14940351,0.167684222,
rec5n,npgo.yravg.2,npgo,yravg,2,0.50093665,0.4980853,0.28266559,0.341976161,1
rec5n,npgo.yravg.3,npgo,yravg,3,0.4765875,0.4410158,0.21526208,0.280508584,
rec5n,npgo.yravg.4,npgo,yravg,4,0.41968753,0.4012738,0.20770488,0.177728233,
rec5n,npgo.yravg.5,npgo,yravg,5,0.4093598,0.326809,0.16512901,0.219292347,
rec5n,npgo.yrsum.2,npgo,yrsum,2,0.49651181,0.5194337,0.30709196,0.387207025,
rec5n,npgo.yrsum.3,npgo,yrsum,3,0.46290511,0.4365085,0.22606456,0.268764293,
rec5n,npgo.yrsum.4,npgo,yrsum,4,0.41688879,0.4042076,0.18197724,0.19739466,
rec5n,npgo.yrsum.5,npgo,yrsum,5,0.40883118,0.3177529,0.17011129,0.187077151,
rec5n,orca.NRKW.4,orca,NRKW,4,0.29682859,0.3934458,0.24467972,NA,
rec5n,orca.NRKW.5,orca,NRKW,5,0.32050752,0.3927715,0.26107066,NA,
rec5n,orca.SEAK.4,orca,SEAK,4,0.30993621,0.2685679,0.17300674,NA,
rec5n,orca.SEAK.5,orca,SEAK,5,0.33183013,0.2595023,0.19554141,NA,
rec5n,orca.SRKWbirthsJKL.4,orca,SRKWbirthsJKL,4,0.3376337,0.4866708,0.31642839,0.251829546,
rec5n,orca.SRKWbirthsJKL.5,orca,SRKWbirthsJKL,5,0.3221108,0.4604846,0.32773516,0.203848389,
rec5n,orca.SRKWdeathsJKL.4,orca,SRKWdeathsJKL,4,0.43759585,0.5289622,0.44139936,0.284652599,
rec5n,orca.SRKWdeathsJKL.5,orca,SRKWdeathsJKL,5,0.42171697,0.4001155,0.49233731,NA,
rec5n,orca.SRKWpodJ.4,orca,SRKWpodJ,4,0.14543308,0.2431625,0.15886086,-0.062437668,
rec5n,orca.SRKWpodJ.5,orca,SRKWpodJ,5,0.20400145,0.2441155,0.11208854,NA,
rec5n,orca.SRKWpodJKL.4,orca,SRKWpodJKL,4,0.25988914,0.3523393,0.15767892,NA,
rec5n,orca.SRKWpodJKL.5,orca,SRKWpodJKL,5,0.25058768,0.4108977,0.13196598,0.138487369,
rec5n,orca.SRKWpodK.4,orca,SRKWpodK,4,0.21911812,0.3119273,0.29936195,-0.000793666,
rec5n,orca.SRKWpodK.5,orca,SRKWpodK,5,0.31503398,0.403042,0.31344339,0.1199895,
rec5n,orca.SRKWpodKL.4,orca,SRKWpodKL,4,0.25290995,0.2866664,0.03749621,NA,
rec5n,orca.SRKWpodKL.5,orca,SRKWpodKL,5,0.22435414,0.3078525,0.07508713,0.007717754,
rec5n,orca.SRKWpodL.4,orca,SRKWpodL,4,0.23666326,0.28513,0.03412204,NA,
rec5n,orca.SRKWpodL.5,orca,SRKWpodL,5,0.20637917,0.2717436,0.05861212,-0.023867166,
rec5n,orca.WAK.4,orca,WAK,4,0.29329489,0.2753193,0.14263545,NA,
rec5n,orca.WAK.5,orca,WAK,5,0.30432983,0.2313154,0.14147867,NA,
rec5n,pdo.fal.2,pdo,fal,2,0.36461058,0.3202926,0.31771636,0.132710686,
rec5n,pdo.fal.3,pdo,fal,3,0.36291077,0.2807153,0.21860369,0.077990996,
rec5n,pdo.fal.4,pdo,fal,4,0.31443204,0.2836005,0.24875418,0.016832538,
rec5n,pdo.fal.5,pdo,fal,5,0.31192391,0.2367549,0.23955997,0.113604525,
rec5n,pdo.spr.2,pdo,spr,2,0.3977826,0.4063088,0.19478832,0.275993981,
rec5n,pdo.spr.3,pdo,spr,3,0.43655317,0.3405211,0.10798023,0.223638477,
rec5n,pdo.spr.4,pdo,spr,4,0.39462397,0.3787846,0.04203288,0.163670238,
rec5n,pdo.spr.5,pdo,spr,5,0.31787714,0.4267434,0.09385627,0.165136375,
rec5n,pdo.sum.2,pdo,sum,2,0.36228501,0.3408299,0.33841794,0.263774678,
rec5n,pdo.sum.3,pdo,sum,3,0.39830332,0.3468759,0.21589806,0.106857351,
rec5n,pdo.sum.4,pdo,sum,4,0.38052557,0.3676597,0.22478191,NA,
rec5n,pdo.sum.5,pdo,sum,5,0.35313807,0.3097814,0.1852921,0.124767844,
rec5n,pdo.win.2,pdo,win,2,0.31418435,0.3600607,0.20640632,0.122876315,
rec5n,pdo.win.3,pdo,win,3,0.32097065,0.3058197,0.20040858,0.137171749,
rec5n,pdo.win.4,pdo,win,4,0.30781186,0.292145,0.07596397,0.178190787,
rec5n,pdo.win.5,pdo,win,5,0.25540362,0.3668031,0.12504583,NA,
rec5n,pdo.yr.2,pdo,yr,2,0.34841317,0.2841501,0.28777187,0.201265711,
rec5n,pdo.yr.3,pdo,yr,3,0.37263437,0.2650311,0.13658194,0.109095257,
rec5n,pdo.yr.4,pdo,yr,4,0.32781548,0.2347315,0.1177885,0.021848116,
rec5n,pdo.yr.5,pdo,yr,5,0.28251267,0.2547704,0.10608688,0.085277844,
rec5n,ssl.bonn.2,ssl,bonn,2,0.13974877,0.3346926,0.2319002,NA,
rec5n,ssl.bonn.3,ssl,bonn,3,0.17434656,0.3017158,0.1916209,NA,
rec5n,ssl.bonn.4,ssl,bonn,4,0.17464533,0.3117292,0.14060118,NA,
rec5n,ssl.bonn.5,ssl,bonn,5,0.21516437,0.275185,0.11840801,NA,
rec5n,ssl.rookORraw.2,ssl,rookORraw,2,0.38216226,0.5720239,0.48210561,0.11497582,
rec5n,ssl.rookORraw.3,ssl,rookORraw,3,0.35047918,0.5479975,0.53120883,0.159199185,
rec5n,ssl.rookORraw.4,ssl,rookORraw,4,0.23631871,0.4913007,0.55609761,0.12453961,
rec5n,ssl.rookORraw.5,ssl,rookORraw,5,0.19457089,0.4756129,0.55985223,0.067847558,
rec5n,ssl.SalishSea.2,ssl,SalishSea,2,0.45668329,0.5184202,0.45589823,0.327277247,
rec5n,ssl.SalishSea.3,ssl,SalishSea,3,0.50632024,0.4827749,0.39304309,NA,
rec5n,ssl.SalishSea.4,ssl,SalishSea,4,0.51152887,0.5357965,0.42284634,NA,
rec5n,ssl.SalishSea.5,ssl,SalishSea,5,0.5398426,0.5627992,0.38685152,NA,
rec5n,ssl.SEAK.2,ssl,SEAK,2,0.25467705,0.2114588,0.16632321,NA,
rec5n,ssl.SEAK.3,ssl,SEAK,3,0.27585137,0.2963508,0.21392624,NA,
rec5n,ssl.SEAK.4,ssl,SEAK,4,0.33158931,0.3083769,0.20953947,NA,
rec5n,ssl.SEAK.5,ssl,SEAK,5,0.33356087,0.2554035,0.22450195,NA,
rec5n,ssl.WA.2,ssl,WA,2,0.19634445,0.3546476,0.1151082,-0.063936147,
rec5n,ssl.WA.3,ssl,WA,3,0.18894532,0.3324925,0.08307271,NA,
rec5n,ssl.WA.4,ssl,WA,4,0.22618076,0.2153021,0.07416886,NA,
rec5n,ssl.WA.5,ssl,WA,5,0.24089783,0.1963481,0.16764728,NA,
rec5n,ssl.WAK.2,ssl,WAK,2,0.40206583,0.288619,0.26830812,0.290739332,
rec5n,ssl.WAK.3,ssl,WAK,3,0.42349627,0.3859996,0.30813238,0.242342514,
rec5n,ssl.WAK.4,ssl,WAK,4,0.44272883,0.4142,0.38513877,NA,
rec5n,ssl.WAK.5,ssl,WAK,5,0.47027013,0.4204182,0.41190563,NA,
rec5n,ssl.WCVIBC.2,ssl,WCVIBC,2,0.2099511,0.2884972,0.135597,-0.053138249,
rec5n,ssl.WCVIBC.3,ssl,WCVIBC,3,0.23890042,0.2976828,0.18410819,-0.045559119,
rec5n,ssl.WCVIBC.4,ssl,WCVIBC,4,0.28351756,0.2800571,0.15381459,NA,
rec5n,ssl.WCVIBC.5,ssl,WCVIBC,5,0.29631543,0.2708643,0.23591897,NA,
rec5n,upw.fal.2,upw,fal,2,0.3262826,0.5217897,0.30024378,NA,
rec5n,upw.fal.3,upw,fal,3,0.3126746,0.453266,0.16320734,0.19022554,
rec5n,upw.fal.4,upw,fal,4,0.28587389,0.4670947,0.11469016,0.206961454,
rec5n,upw.fal.5,upw,fal,5,0.32148941,0.4345126,0.10182826,0.297828434,
rec5n,upw.fti.2,upw,fti,2,0.41022857,0.4373703,0.31657695,0.228973256,
rec5n,upw.fti.3,upw,fti,3,0.35485983,0.3964086,0.34728426,0.197157781,
rec5n,upw.fti.4,upw,fti,4,0.34577856,0.3980723,0.27924274,0.212867032,
rec5n,upw.fti.5,upw,fti,5,0.3537667,0.3773833,0.26804114,0.106957846,
rec5n,upw.lusi.2,upw,lusi,2,0.40086272,0.5669272,0.33480884,NA,
rec5n,upw.lusi.3,upw,lusi,3,0.40936853,0.6114955,0.37433076,NA,
rec5n,upw.lusi.4,upw,lusi,4,0.45200561,0.5146465,0.38505481,0.296131569,
rec5n,upw.lusi.5,upw,lusi,5,0.47065506,0.4966787,0.34666673,0.29784677,
rec5n,upw.spr.2,upw,spr,2,0.32029363,0.4050664,0.25483356,NA,
rec5n,upw.spr.3,upw,spr,3,0.35151825,0.3875189,NA,NA,
rec5n,upw.spr.4,upw,spr,4,0.33963653,0.4619046,NA,0.198543694,
rec5n,upw.spr.5,upw,spr,5,0.34493499,0.4464055,NA,0.256022058,
rec5n,upw.sti.2,upw,sti,2,0.39757744,0.4891565,0.31368014,NA,
rec5n,upw.sti.3,upw,sti,3,0.39689791,0.5646792,0.24665416,NA,
rec5n,upw.sti.4,upw,sti,4,0.40909833,0.5033872,0.26889436,0.267714391,
rec5n,upw.sti.5,upw,sti,5,0.40232665,0.5152254,0.26242588,0.264560216,
rec5n,upw.sum.2,upw,sum,2,0.34495058,0.4110209,0.2522993,0.058739503,
rec5n,upw.sum.3,upw,sum,3,0.32682417,0.3840052,0.29274438,0.117008765,
rec5n,upw.sum.4,upw,sum,4,0.31081068,0.3457843,0.29967512,0.187015881,
rec5n,upw.sum.5,upw,sum,5,0.29383387,0.391347,0.29372495,0.192520509,
rec5n,upw.tdmi.2,upw,tdmi,2,0.39446077,0.5252909,0.30228336,0.135407564,
rec5n,upw.tdmi.3,upw,tdmi,3,0.42507164,0.5448788,0.31889032,0.257433371,
rec5n,upw.tdmi.4,upw,tdmi,4,0.47001283,0.5144872,0.35426343,0.368033722,
rec5n,upw.tdmi.5,upw,tdmi,5,0.45775287,0.4693074,0.26309586,0.352800226,
rec5n,upw.tumi.2,upw,tumi,2,0.42219639,0.5577238,0.39488931,NA,
rec5n,upw.tumi.3,upw,tumi,3,0.39214973,0.5182957,0.47426846,0.12683298,
rec5n,upw.tumi.4,upw,tumi,4,0.36614366,0.4303694,0.42145108,0.199881742,
rec5n,upw.tumi.5,upw,tumi,5,0.37640034,0.4253325,0.3765835,0.181667153,
rec5n,upw.win.2,upw,win,2,0.29320434,0.4248449,0.15518866,NA,
rec5n,upw.win.3,upw,win,3,0.31198067,0.453718,0.25148903,0.090158464,
rec5n,upw.win.4,upw,win,4,0.32739546,0.447892,0.25075483,0.154694542,
rec5n,upw.win.5,upw,win,5,0.31502822,0.4591261,0.23965597,0.146010111,
rec5n,upw.yr.2,upw,yr,2,0.28031746,0.4795974,0.2291228,0.09079883,
rec5n,upw.yr.3,upw,yr,3,0.351454,0.4931762,0.21820075,0.166924229,
rec5n,upw.yr.4,upw,yr,4,0.33655893,0.5201431,0.22588322,0.241031328,
rec5n,upw.yr.5,upw,yr,5,0.36196346,0.4411854,0.22704686,0.309386296,
